trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-134.05802261261672,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,17,2.1051959103425313,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,6,-58.17523175122715,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,6,-11.088212596204984,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,6,-33.01768750408718,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",25,0,-48.70702492183767,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,-64.11991807025271,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,1,-93.91934710546622,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",35,9,-19.58528556985331,"{0: 22, 1: 1, 2: 1, 3: 2, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-137.00081951261853,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,7,-26.70449821442944,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-46.86357350479645,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-55.419215233009304,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,5,-52.573949168606084,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,0,-94.2914728075162,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,7,9.042857101958809,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-59.10325227475173,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-59.376313692672376,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-16.786970971171243,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-77.12474299521762,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,0,-8.664279457718798,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",35,10,-137.38517172640076,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,0,-84.72854651664444,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,3,-54.060183224926604,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-52.83768532384901,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,0,-39.176129874068046,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,0,-111.3982874434685,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
